date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
1999-12-03,104.94,112.87,102.12,111.87,37670000.0,10.75,0.06542857142857139,105.0,103.94,104.17,109.0
1999-12-10,113.0,122.12,107.56,109.0,58626000.0,14.560000000000002,-0.0256547778671673,111.87,105.0,107.4525,110.0
1999-12-17,108.12,112.75,104.5,110.0,38810100.0,8.25,0.00917431192660545,109.0,111.87,108.9675,108.62
1999-12-23,109.06,110.44,107.75,108.62,18144100.0,2.6899999999999977,-0.012545454545454526,110.0,109.0,109.8725,107.87
1999-12-31,109.69,110.75,106.62,107.87,16812500.0,4.1299999999999955,-0.006904805744798348,108.62,110.0,108.8725,113.5
2000-01-07,112.44,119.75,110.62,113.5,51137300.0,9.129999999999995,0.052192453879669864,107.87,108.62,109.9975,119.62
2000-01-14,117.25,123.31,115.37,119.62,42663900.0,7.939999999999998,0.053920704845815015,113.5,107.87,112.4025,121.5
2000-01-21,119.69,124.75,112.69,121.5,41930500.0,12.060000000000002,0.015716435378699156,119.62,113.5,115.6225,111.56
2000-01-28,121.87,122.87,110.06,111.56,33325200.0,12.810000000000002,-0.08181069958847731,121.5,119.62,116.545,115.62
2000-02-04,111.37,118.44,109.12,115.62,32834200.0,9.319999999999993,0.03639297239153816,111.56,121.5,117.075,115.37
2000-02-11,116.0,119.75,113.12,115.37,26814500.0,6.6299999999999955,-0.002162255665109858,115.62,111.56,116.0125,112.5
2000-02-18,116.0,118.87,111.5,112.5,26599300.0,7.3700000000000045,-0.024876484354684925,115.37,115.62,113.7625,108.0
2000-02-25,112.0,113.44,104.94,108.0,34514300.0,8.5,-0.040000000000000036,112.5,115.37,112.8725,108.0
2000-03-03,104.62,110.0,99.5,108.0,51128300.0,10.5,0.0,108.0,112.5,110.9675,105.25
2000-03-10,109.94,111.0,101.0,105.25,42586200.0,10.0,-0.02546296296296291,108.0,108.0,108.4375,110.0
2000-03-17,104.0,111.69,102.5,110.0,36990400.0,9.189999999999998,0.0451306413301662,105.25,108.0,107.8125,120.62
2000-03-24,110.0,122.25,109.94,120.62,38090900.0,12.310000000000002,0.09654545454545449,110.0,105.25,110.9675,118.37
2000-03-31,125.0,128.25,117.06,118.37,44498000.0,11.189999999999998,-0.018653622948101467,120.62,110.0,113.56,123.12
2000-04-07,120.0,128.0,115.06,123.12,47344000.0,12.939999999999998,0.0401284109149278,118.37,120.62,118.0275,105.0
2000-04-14,124.75,125.37,102.87,105.0,42149600.0,22.5,-0.1471734892787525,123.12,118.37,116.7775,104.0
2000-04-20,103.87,115.12,102.06,104.0,43482800.0,13.060000000000002,-0.00952380952380949,105.0,123.12,112.6225,111.5
2000-04-28,102.0,113.94,101.25,111.5,35488400.0,12.689999999999998,0.07211538461538458,104.0,105.0,110.905,107.87
2000-05-05,112.5,113.62,106.5,107.87,22151300.0,7.1200000000000045,-0.03255605381165916,111.5,104.0,107.0925,104.44
2000-05-12,108.06,110.62,102.06,104.44,33410400.0,8.560000000000002,-0.031797534068786604,107.87,111.5,106.9525,106.44
2000-05-19,104.0,109.25,102.0,106.44,29694500.0,7.25,0.019149751053236352,104.44,107.87,107.5625,106.94
2000-05-26,106.0,112.25,103.44,106.94,31197000.0,8.810000000000002,0.004697482149567778,106.44,104.44,106.4225,108.81
2000-06-02,107.75,111.0,105.5,108.81,18535800.0,5.5,0.017486440994950447,106.94,106.44,106.6575,119.69
2000-06-09,108.44,122.31,108.44,119.69,37831000.0,13.870000000000005,0.09999080966822893,108.81,106.94,110.47,113.25
2000-06-16,119.12,120.44,113.25,113.25,26364000.0,7.189999999999998,-0.053805664633636896,119.69,108.81,112.1725,111.87
2000-06-23,113.5,120.69,110.81,111.87,27864000.0,9.879999999999995,-0.012185430463576119,113.25,119.69,113.405,109.56
2000-06-30,113.0,115.75,108.62,109.56,32971500.0,7.1299999999999955,-0.020648967551622488,111.87,113.25,113.5925,105.06
2000-07-07,108.75,109.87,100.0,105.06,38608400.0,9.870000000000005,-0.04107338444687847,109.56,111.87,109.935,103.94
